property_type,state,region,lat,lon,area_m2,price_usd
apartment,Pernambuco,Northeast,-8.128416,-34.903417,82,98814.636
apartment,Pernambuco,Northeast,-8.126271,-34.903793,107,179662.98200000002
apartment,Pernambuco,Northeast,-8.149876,-34.910686,153,219588.086
apartment,Pernambuco,Northeast,-8.034344,-34.896725,87,109794.042
apartment,Pernambuco,Northeast,-8.1149776,-34.89895,120,76855.826
apartment,Pernambuco,Northeast,-8.1299858,-34.903518,98,103805.278
apartment,Pernambuco,Northeast,-8.1221009,-34.905421,66,78852.084
apartment,Pernambuco,Northeast,-8.1250952,-34.902995,134,128758.46399999999
apartment,Pernambuco,Northeast,-8.126271,-34.903793,132,139737.87
house,Pernambuco,Northeast,-8.1603708,-34.9162064,230,129756.594
apartment,Pernambuco,Northeast,-8.111414,-34.894337,158,239550.644
apartment,Pernambuco,Northeast,-8.113888,-34.892437,185,169681.706
apartment,Pernambuco,Northeast,-8.1421704,-34.907805,108,129756.594
apartment,Pernambuco,Northeast,-8.110801,-34.895542,162,211663.752
apartment,Pernambuco,Northeast,-8.040233,-34.898281,74,51902.638000000006
house,Pernambuco,Northeast,-8.1951499,-35.563776,215,74859.572
apartment,Pernambuco,Northeast,-8.101428,-34.885632,128,239550.644
apartment,Pernambuco,Northeast,-8.089291,-34.903793,170,249531.92000000004
house,Pernambuco,Northeast,-8.1951499,-35.563776,168,134747.236
apartment,Pernambuco,Northeast,-8.206632,-34.921719,134,222981.72400000005
apartment,Pernambuco,Northeast,-8.183491,-34.921719,170,129756.594
apartment,Pernambuco,Northeast,-8.2007221,-34.9213268,180,146724.764
house,Pernambuco,Northeast,-8.049665,-34.931366,100,69868.932
apartment,Pernambuco,Northeast,-8.037121,-34.90073,160,219588.086
apartment,Pernambuco,Northeast,-8.021971,-34.931366,172,239550.644
apartment,Pernambuco,Northeast,-8.0369,-34.884521,65,69669.30600000001
apartment,Pernambuco,Northeast,-8.027162,-34.913445,98,99812.766
apartment,Pernambuco,Northeast,-8.062398,-34.904552,104,126263.148
apartment,Pernambuco,Northeast,-8.045761,-34.893982,132,105801.53000000001
apartment,Pernambuco,Northeast,-8.027162,-34.913445,129,169681.706
apartment,Pernambuco,Northeast,-8.021971,-34.931366,172,233561.87400000004
house,Pernambuco,Northeast,-7.755484,-34.851379,229,99812.766
apartment,Pernambuco,Northeast,-8.02765,-34.920338,66,88833.36
apartment,Pernambuco,Northeast,-8.125632,-34.904846,155,195633.022
